Size    Enumeration1            Enumaeration2
---------------------------------------------
100     0.000696                0.000719
200     0.002591                0.002654
300     0.005745                0.005936
400     0.010156                0.010666
500     0.016255                0.016689
600     0.023073                0.023882
700     0.031572                0.032457
800     0.043199                0.042115
900     0.052044                0.053318
1000    0.064217                0.065591
2000    0.257333                0.259802
3000    0.578875                0.581656
4000    1.021853                1.047431
5000    1.620242                1.640189
6000    2.302268                2.375077
7000    3.166515                3.149312
8000    4.118694                4.301560
9000    5.197848                5.182940
